,Component,R2-ALAMO,R2-NN
0,HeatDuty,0.9805424486328126,0.9672032341429775
1,Fout,0.991559335613284,0.9713781268171421
2,Tout,0.8902720219144163,0.8723117385301833
3,H2,0.9921684923454919,0.9292641451934809
4,CO,0.9797226417945042,0.9663133660303478
5,H2O,0.9886209802562579,0.9467095918746221
6,CO2,0.98592725139633,0.9918139672240869
7,CH4,0.9972730521642165,0.9967590492241161
8,C2H6,0.8990801091826967,0.9716949666315062
9,C3H8,0.2992143837633908,0.8882934510456099
10,N2,0.9936898511812305,0.9651335470982078
11,Ar,0.9939069611681646,0.9706862584853175
